Equipement type,SI unit value,Description,Model name,Link ,Quantity,Mass (g),Type,Ecoinvent caracteristics (hypotheses),Categories plus simple,category,Link,
"Resistances 4,7K Ohm",4700,"Surface mount pads, Chip Resistor, 2-Leads, Body 1,0x0,5mm, IPC Medium Density", RESC1005X04N,"https://circuithub,com/projects/melissa/tasha-altium/revisions/1818/parts","18,00","0,00","resistor production, surface-mounted","mass = 9,8mg",Basic electronic ,Resistance,,"0,018"
Resistances 33 Ohm,33,"Surface mount pads, Chip Resistor, 2-Leads, Body 1,0x0,5mm, IPC Medium Density", RESC1005X04N,,"2,00","0,00","resistor production, surface-mounted",,Basic electronic ,Resistance,,"0,002"
"Resistances 2,7K Ohm",2700,"Surface mount pads, Chip Resistor, 2-Leads, Body 1,0x0,5mm, IPC Medium Density", RESC1005X04N,,"2,00","0,00","resistor production, surface-mounted",,Basic electronic ,Resistance,,"0,002"
Resistances 22K Ohm,22000,"Surface mount pads, Chip Resistor, 2-Leads, Body 1,0x0,5mm, IPC Medium Density", RESC1005X04N,,"10,00","0,00","resistor production, surface-mounted",,Basic electronic ,Resistance,,"0,01"
"Resistances 2,2K Ohm",2200,"Surface mount pads, Chip Resistor, 2-Leads, Body 1,0x0,5mm, IPC Medium Density", RESC1005X04N,,"17,00","0,00","resistor production, surface-mounted",,Basic electronic ,Resistance,,"0,017"
"Resistances 1,5K Ohm",1500,"Surface mount pads, Chip Resistor, 2-Leads, Body 1,0x0,5mm, IPC Medium Density", RESC1005X04N,,"7,00","0,00","resistor production, surface-mounted",,Basic electronic ,Resistance,,"0,007"
Resistances 1K Ohm,1000,"Surface mount pads, Chip Resistor, 2-Leads, Body 1,0x0,5mm, IPC Medium Density", RESC1005X04N,,"10,00","0,00","resistor production, surface-mounted",,Basic electronic ,Resistance,,"0,01"
Resistances 10K Ohm,10000,"Surface mount pads, Chip Resistor, 2-Leads, Body 1,0x0,5mm, IPC Medium Density", RESC1005X04N,,"16,00","0,00","resistor production, surface-mounted",,Basic electronic ,Resistance,,"0,016"
"Resistances 6,2 Ohm","6,2","Surface mount pads, Chip Resistor, 2-Leads, Body 1,0x0,5mm, IPC Medium Density", RESC1005X04N,,"7,00","0,00","resistor production, surface-mounted",,Basic electronic ,Resistance,,"0,007"
Resistances 56 Ohm,56,"Surface mount pads, Chip Resistor, 2-Leads, Body 1,0x0,5mm, IPC Medium Density", RESC1005X04N,,"18,00","0,00","resistor production, surface-mounted",,Basic electronic ,Resistance,,"0,018"
Resistances 39 Ohm,39,"Surface mount pads, Chip Resistor, 2-Leads, Body 1,0x0,5mm, IPC Medium Density", RESC1005X04N,,"14,00","0,00","resistor production, surface-mounted",,Basic electronic ,Resistance,,"0,014"
Resistances 200 Ohm,200,"Surface mount pads, Chip Resistor, 2-Leads, Body 1,0x0,5mm, IPC Medium Density", RESC1005X04N,,"4,00","0,00","resistor production, surface-mounted",,Basic electronic ,Resistance,,"0,004"
Resistances 82 Ohm,82,"Surface mount pads, Chip Resistor, 2-Leads, Body 1,0x0,5mm, IPC Medium Density", RESC1005X04N,,"4,00","0,00","resistor production, surface-mounted",,Basic electronic ,Resistance,,"0,004"
Resistances 100 Ohm,100,"Surface mount pads, Chip Resistor, 2-Leads, Body 1,0x0,5mm, IPC Medium Density", RESC1005X04N,,"4,00","0,00","resistor production, surface-mounted",,Basic electronic ,Resistance,,"0,004"
Resistances 180 Ohm,180,"Surface mount pads, Chip Resistor, 2-Leads, Body 1,0x0,5mm, IPC Medium Density", RESC1005X04N,,"2,00","0,00","resistor production, surface-mounted",,Basic electronic ,Resistance,,"0,002"
"Resistances 5,6K Ohm",5600,"Surface mount pads, Chip Resistor, 2-Leads, Body 1,0x0,5mm, IPC Medium Density", RESC1005X04N,,"2,00","0,00","resistor production, surface-mounted",,Basic electronic ,Resistance,,"0,002"
Resistances 100K Ohm,100000,"Surface mount pads, Chip Resistor, 2-Leads, Body 1,0x0,5mm, IPC Medium Density", RESC1005X04N,,"15,00","0,00","resistor production, surface-mounted",,Basic electronic ,Resistance,,"0,015"
Resistances 680K Ohm,680000,"Surface mount pads, Chip Resistor, 2-Leads, Body 1,0x0,5mm, IPC Medium Density", RESC1005X04N,,"1,00","0,00","resistor production, surface-mounted",,Basic electronic ,Resistance,,"0,001"
