Domaines,Types d'équipements,nom court et spécification,Équipement,"BLD Utilisation des ressources, minéraux et métaux (kg Sb éq.) - ADPe","BLD Utilisation des ressources, fossiles (MJ) - ADPf",BLD Acidification (mol H+ éq.) - AP,"BLD Ecotoxicité, eau douce (CTUe) - CTUe","BLD Toxicité humaine, cancer (CTUh) - CTUh-c","BLD Toxicité humaine, hors cancer (CTUh) - CTUh-nc","BLD Eutrophisation, eau douce (kg P éq.) - Epf","BLD Eutrophisation, marine (kg N éq.) - Epm","BLD Eutrophisation, terrestre (mol N éq.) - Ept",BLD Changement climatique - Source biologique (kg CO2 éq.) - GWPb,BLD Changement climatique - Fossiles (kg CO2 éq.) - GWPf,BLD Changement climatique (kg CO2 éq.) - GWP,BLD Changement climatique - Utilisation des sols et changement d'utilisation des sols (kg CO2 éq.) - GWPlu,BLD Particules fine (occurrences de maladies) - PM,"BLD Radiations ionisantes, santé humaine (kg U235 éq.) - IR",BLD Formation d'ozone photochimique (kg NMVOC éq.) - POCP,BLD Tension sur l'eau douce (m3 éq.) - WU,BLD Utilisation des sols (sans dimensions) - LU,BLD Déplétion de la couche d'ozone (kg CFC-11 éq.) - ODP,BLD Energie primaire totale (MJ) - TPE,"DIS Utilisation des ressources, minéraux et métaux (kg Sb éq.) - ADPe","DIS Utilisation des ressources, fossiles (MJ) - ADPf",DIS Acidification (mol H+ éq.) - AP,"DIS Ecotoxicité, eau douce (CTUe) - CTUe","DIS Toxicité humaine, cancer (CTUh) - CTUh-c","DIS Toxicité humaine, hors cancer (CTUh) - CTUh-nc","DIS Eutrophisation, eau douce (kg P éq.) - Epf","DIS Eutrophisation, marine (kg N éq.) - Epm","DIS Eutrophisation, terrestre (mol N éq.) - Ept",DIS Changement climatique - Source biologique (kg CO2 éq.) - GWPb,DIS Changement climatique - Fossiles (kg CO2 éq.) - GWPf,DIS Changement climatique (kg CO2 éq.) - GWP,DIS Changement climatique - Utilisation des sols et changement d'utilisation des sols (kg CO2 éq.) - GWPlu,DIS Particules fine (occurrences de maladies) - PM,"DIS Radiations ionisantes, santé humaine (kg U235 éq.) - IR",DIS Formation d'ozone photochimique (kg NMVOC éq.) - POCP,DIS Tension sur l'eau douce (m3 éq.) - WU,DIS Utilisation des sols (sans dimensions) - LU,DIS Déplétion de la couche d'ozone (kg CFC-11 éq.) - ODP,DIS Energie primaire totale (MJ) - TPE,"USE Utilisation des ressources, minéraux et métaux (kg Sb éq.) - ADPe","USE Utilisation des ressources, fossiles (MJ) - ADPf",USE Acidification (mol H+ éq.) - AP,"USE Ecotoxicité, eau douce (CTUe) - CTUe","USE Toxicité humaine, cancer (CTUh) - CTUh-c","USE Toxicité humaine, hors cancer (CTUh) - CTUh-nc","USE Eutrophisation, eau douce (kg P éq.) - Epf","USE Eutrophisation, marine (kg N éq.) - Epm","USE Eutrophisation, terrestre (mol N éq.) - Ept",USE Changement climatique - Source biologique (kg CO2 éq.) - GWPb,USE Changement climatique - Fossiles (kg CO2 éq.) - GWPf,USE Changement climatique (kg CO2 éq.) - GWP,USE Changement climatique - Utilisation des sols et changement d'utilisation des sols (kg CO2 éq.) - GWPlu,USE Particules fine (occurrences de maladies) - PM,"USE Radiations ionisantes, santé humaine (kg U235 éq.) - IR",USE Formation d'ozone photochimique (kg NMVOC éq.) - POCP,USE Tension sur l'eau douce (m3 éq.) - WU,USE Utilisation des sols (sans dimensions) - LU,USE Déplétion de la couche d'ozone (kg CFC-11 éq.) - ODP,USE Energie primaire totale (MJ) - TPE
Capaciteurs,"Capacitor production, for surface-mounting","Capacitor production, for surface-mounting ","#1130 - Capacitor production, for surface-mounting - Base (mg) [ResilioDB - 0.220309 - (2022)]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diodes,"Diode production, glass-, for surface-mounting", ,"#1136 - Diode production, glass-, for surface-mounting - Base (mg) [ResilioDB - 0.220309 - (2022)]","0,00003135","6,289","0,003097","17,461","0,0000000001995","0,000000009424","0,0002945","0,0006023","0,005947","0,009633","0,4921","0,5016","0,0007638","0,00000002622","0,06099","0,0015352","0,1995","1,5029","0,00000001957","7,391",0,"0,012331","0,00002071","0,0005966",0,0,"0,0000000003344","0,000005491","0,00006023",0,"0,0009367","0,0009367",0,"0,00000000011647","0,00000209","0,000015447","0,000003268",0,0,"0,012369",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Motor,"electric, motor", ,"#1133 - electric, motor - Base (mg) [ResilioDB - 0.220309 - (2022)]","0,0000774","2,856","0,00444","34,68","0,000000001554","0,00000004818","0,0003372","0,0004044","0,004656","0,000786","0,2724","0,2736","0,00051","0,00000002592","0,01404","0,0015","0,1266","1,656","0,00000001302","3,414","0,000000001098","0,3894","0,000654","0,01884",0,0,"0,00000001056","0,0001734","0,001902",0,"0,02958","0,02958",0,"0,000000003678","0,000066","0,0004878","0,0001032",0,0,"0,3906",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Resistances,"Resistor production, surface-mounted","Resistor production, surface-mounted Resistance 4.7kOhm","#1132 - Resistor production, surface-mounted - Base (mg) [ResilioDB - 0.220309 - (2022)]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transisteurs,"Transistor production, surface-mounted", ,"#1129 - Transistor production, surface-mounted - Base (mg) [ResilioDB - 0.220309 - (2022)]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autres composants,Brass production, ,#1140 - Brass production - Base (mg) [ResilioDB - 0.220309 - (2022)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Power supply,"Battery production, Li-ion, rechargeable, prismatic", ,"#1131 - Battery production, Li-ion, rechargeable, prismatic - Base (mg) [ResilioDB - 0.220309 - (2022)]","0,0000945","3,21","0,00459","38,4","0,000000001383","0,0000000513","0,000375","0,000414","0,00456","0,00342","0,2463","0,2502","0,000447","0,00000002259","0,02319","0,001365","0,1302","1,932","0,00000001986","3,87","0,000000000549","0,1947","0,000327","0,00942",0,0,"0,00000000528","0,0000867","0,000951",0,"0,01479","0,01479",0,"0,000000001839","0,000033","0,0002439","0,0000516",0,0,"0,1953",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Power supply,"Power adapter production, for smartphone", ,"#1134 - Power adapter production, for smartphone - Base (mg) [ResilioDB - 0.220309 - (2022)]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autres composants,Ceramic tile, ,#1143 - Ceramic tile - Base (mg) [ResilioDB - 0.220309 - (2022)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autres composants,"Electronic component (earpiece, speaker)", ,"#1135 - Electronic component (earpiece, speaker) - Base (mg) [ResilioDB - 0.220309 - (2022)]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
