indicator,unit,block,value,Detail
ADPe,kg Sb eq.,Power supply,0.0001231265,Resource use. minerals and metals
ADPe,kg Sb eq.,Shell,0.0000005358,Resource use. minerals and metals
ADPe,kg Sb eq.,Capaciteurs,0,Resource use. minerals and metals
ADPe,kg Sb eq.,Sensors,0.0012528207,Resource use. minerals and metals
ADPe,kg Sb eq.,Basic electrical components,0.0054290363,Resource use. minerals and metals
ADPe,kg Sb eq.,Conception,0,Resource use. minerals and metals
ADPe,kg Sb eq.,Peripheral connectors,0.0000074709,Resource use. minerals and metals
ADPe,kg Sb eq.,LED,0.00003135,Resource use. minerals and metals
ADPe,kg Sb eq.,Microcontroller,0.000715,Resource use. minerals and metals
ADPe,kg Sb eq.,Motor,0.0000774011,Resource use. minerals and metals
ADPe,kg Sb eq.,Others components,0,Resource use. minerals and metals
ADPe,kg Sb eq.,Resistances,0,Resource use. minerals and metals
ADPe,kg Sb eq.,Transisteurs,0,Resource use. minerals and metals
ADPf,MJ,Power supply,4.2664396,Resource use. fossils (MJ)
ADPf,MJ,Shell,11.5667158,Resource use. fossils (MJ)
ADPf,MJ,Capaciteurs,0,Resource use. fossils (MJ)
ADPf,MJ,Sensors,38.80208036,Resource use. fossils (MJ)
ADPf,MJ,Basic electrical components,164.5938883,Resource use. fossils (MJ)
ADPf,MJ,Conception,0,Resource use. fossils (MJ)
ADPf,MJ,Peripheral connectors,0.2585706,Resource use. fossils (MJ)
ADPf,MJ,LED,6.301331,Resource use. fossils (MJ)
ADPf,MJ,Microcontroller,20.10649,Resource use. fossils (MJ)
ADPf,MJ,Motor,3.2454,Resource use. fossils (MJ)
ADPf,MJ,Others components,0,Resource use. fossils (MJ)
ADPf,MJ,Resistances,0,Resource use. fossils (MJ)
ADPf,MJ,Transisteurs,0,Resource use. fossils (MJ)
AP,mol H+ eq.,Power supply,0.005333776,Acidification (mol H+ eq.)
AP,mol H+ eq.,Shell,0.0033394272,Acidification (mol H+ eq.)
AP,mol H+ eq.,Capaciteurs,0,Acidification (mol H+ eq.)
AP,mol H+ eq.,Sensors,0.0202632176,Acidification (mol H+ eq.)
AP,mol H+ eq.,Basic electrical components,0.0950288203,Acidification (mol H+ eq.)
AP,mol H+ eq.,Conception,0,Acidification (mol H+ eq.)
